"Bill of Material for "
"On 2018/8/27 at 9:37:34"

"Comment","Pattern","Quantity","Components"

"1.5KΩ (1501) ±1%","0805_R","3","R2, R3, R4","贴片电阻"
"100nF(104) 10% 50V","0805_C","7","C3, C4, C5, C8, C9, C12, C13","贴片电容"
"10KΩ (1002) ±1%","0805_R","1","R7","贴片电阻"
"1KΩ (1001) ±1%","0805_R","1","R6","贴片电阻"
"2512,1W,1%","2512","2","R1, R5","Resistor"
"4.7uF (475) 10% 50V","1206_C","1","C2","贴片电容"
"A4950ELJTR-T","SOP-8_EP_150mil","2","U2, U3",""
"AMS1117-3.3","SOT-223","1","VR1","低压差线性稳压(LDO)"
"Cap Pol1","CAPM8485X103N","3","C1, C10, C11","Polarized Capacitor (Radial)"
"Cap Pol1","CASE-A_3216","2","C6, C7","Polarized Capacitor (Radial)"
"Header 19","HDR1X19","2","P1, P2","Header, 19-Pin"
"Header 2","HDR2X1_D1","1","P7","Header, 2-Pin"
"Header 3","HDR1X3","2","Servo1, Servo2","Header, 3-Pin"
"Header 4X2A","HDR2X4_CEN","1","P4","Header, 4-Pin, Dual row"
"IIC","HDR2X4","1","P3","Header, 4-Pin, Dual row"
"Inductor","CAPM100100X103N","1","L1","Inductor"
"LM2596T-5V(S)","TO-263-5","1","U4",""
"NodeMCU-32s","NodeMCU_ESP32","1","U1",""
"PH-PS-2.0-6","PH-PS-2.0-6","2","J1, J2","PH-PS-2.0-6"
"SS54","SMA(DO-214AC)_S1","2","D3, D4","二极管"
"SW-PB4","SW_PB4_A1","1","S1","微动开关"
"SW-SPDT","SW-3","1","S2","SPDT Subminiature Toggle Switch, Right Angle Mounting, Vertical Actuation"
"串口(拓展)","HDR1X4","2","P5, P6","Header, 4-Pin"
"红灯 0805","0805_LED_S1","1","D1","发光二极管"
"蓝灯 0805","0805_LED_S1","1","D2","发光二极管"
